,business_id,name,price,status_1,status_2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,status
96,ThFZjqExrG8FBMGOjkvFlA,Pollo D'oro,,,,,,,,,,,,,1.0
97,OZM_XxddxWLSkvq9MjclgQ,Trader's Island Grill,,1.0,,,,,,,,,,,1.0
98,seJIb5SydqVQWuiofLPsog,La Eskinna,,,,,,,,,,,,,1.0
99,HgwzwG9KDpwG9dyp04j5xA,A Tu Gusto,,1.0,,,,,,,,,,,1.0
100,23__78KhVdFw3NixkOqYjg,Dumpling Spot,,,,,,,,,,,,,1.0
101,aMLjnlkb7ZuFO8dNyu8zug,Izziban Katsu at Lotte Market,1.0,1.0,,,,,,,,,,,5.0
102,TQwG32pULPj47233oleERQ,LIME Fresh Mexican Grill,,,,,,,,,,,,,1.0
103,CP55qETa6b7EeaajWscbIQ,Asia Chao,,1.0,,,,,,,,,,,1.0
104,JZNq_H0-whhmEN_wm87L7Q,China One,,1.0,,,,,,,,,,,1.0
105,cKFUKM9k1Bng_-0BVNVY3A,Charleys Philly Steaks,1.0,,,,,,,,,,,,6.0
106,LL1AjT_otpqoRyKc9SG4yw,A&D Buffalo's,1.0,1.0,,,,,,,,,,,6.0
107,0PecldwaALEVcI9h4SG9KA,Melao Bakery,1.0,,,,,,,,,,,,6.0
108,3BmP1QJUwcLthtjyqqD-fQ,Woody's Lunch Box,,,,,,,,,,,,,1.0
109,gbZgCBf-Fvv7Y4fy0XZycA,Tai Won Restaurant,,1.0,,,,,,,,,,,1.0
110,XP5BuE79M_WRTtZM2_KlfA,Seana's,,,,,,,,,,,,,1.0
111,gQoW2b2L-KhtzYyNGBz3AA,DT Café,,1.0,,,,,,,,,,,1.0
112,dVKbJvzjBaQhC4KEqpeRiA,Charlie's Kitchen & Grill,,,,,,,,,,,,,1.0
114,DCbI87ubut3n4aT246dTKg,Hinckleyâ€™s Fancy Meats,,1.0,,,,,,,,,,,1.0
115,xcHPPeT_m65dFgZhkNOpPg,Three Bridges Bar & Grill,,1.0,,,,,,,,,,,1.0
