,Name,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
98,Rowena Gardens,28.56830000000008,-81.36032999999998,1,Garden,History Museum,Intersection,Japanese Restaurant,Pet Service,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub
99,Seaboard Industrial,28.58328000000006,-81.43091999999996,0,Furniture / Home Store,Food,Paper / Office Supplies Store,Moving Target,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
100,Signal Hill,28.59737000000007,-81.44574999999998,0,Chinese Restaurant,Discount Store,Gym,Business Service,North Indian Restaurant,Office,Nightclub,Optical Shop,Outdoor Sculpture,Pharmacy
101,South Division,28.52562000000006,-81.38472999999993,1,Flower Shop,Train Station,Bakery,Café,Brewery,Pizza Place,Business Service,American Restaurant,Shop & Service,Park
102,South Eola,28.542290000000037,-81.37010999999995,1,American Restaurant,Pizza Place,Park,Juice Bar,Cocktail Bar,Grocery Store,Coffee Shop,Beer Bar,Thai Restaurant,Restaurant
103,South Orange,28.52389000000005,-81.37790999999999,1,Sandwich Place,Pizza Place,Pharmacy,Train Station,New American Restaurant,Convenience Store,Bagel Shop,Café,Hotel,Mexican Restaurant
104,South Semoran,28.500690000000077,-81.30922999999996,1,Pizza Place,Fast Food Restaurant,Chinese Restaurant,Ice Cream Shop,Pet Store,Grocery Store,Nail Salon,Asian Restaurant,Donut Shop,Cosmetics Shop
105,Southeastern Oaks,28.464023000000054,-81.41780899999998,0,Gymnastics Gym,Bakery,Shipping Store,ATM,Outdoor Sculpture,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Optical Shop
106,Southern Oaks,28.504650000000026,-81.36491999999998,1,Lake,Pool,ATM,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,Pet Store
107,Southport,28.43363000000005,-81.34181999999998,2,Insurance Office,Moving Target,Locksmith,Residential Building (Apartment / Condo),Pet Service,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant
108,Spring Lake,28.557060000000035,-81.40258999999998,0,Golf Course,ATM,Pet Service,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
109,Storey Park,28.414600632050867,-81.22008304549213,2,Gym,American Restaurant,Optical Shop,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture,ATM,Pet Store
110,The Dovers,28.53362000000004,-81.32244999999995,1,Park,Art Gallery,Sports Bar,ATM,Outdoor Sculpture,Performing Arts Venue,Pawn Shop,Paper / Office Supplies Store,Optical Shop,Pet Store
