,ValueCount,location
200,1,"(28.458967767, -81.3070700489999)"
201,1,"(28.513407962, -81.328439805)"
202,1,"(28.51487272, -81.48565848)"
203,1,"(28.468977809, -81.310092072)"
204,1,"(28.486235373, -81.310166657)"
205,1,"(28.49384684, -81.459994662)"
206,1,"(28.54662492, -81.39407965)"
207,1,"(28.50982664, -81.37630433)"
208,1,"(28.568179678, -81.372708033)"
209,1,"(28.541747028, -81.375866206)"
210,1,"(28.552819383, -81.412294522)"
211,1,"(28.5651926260001, -81.364452192)"
212,1,"(28.4592465260001, -81.469324808)"
213,1,"(28.49547463, -81.428878809)"
214,1,"(28.540321492, -81.3798898759999)"
215,1,"(28.524258504, -81.331791828)"
216,1,"(28.54514187, -81.37751192)"
217,1,"(28.544074149, -81.3790719789999)"
218,1,"(28.4645677510001, -81.31007364)"
219,1,"(28.51831899, -81.45912206)"
220,1,"(28.49630365, -81.45894543)"
221,1,"(28.5312320780001, -81.45928323)"
222,1,"(28.5378239980001, -81.397214252)"
223,1,"(28.56831632, -81.346075)"
224,1,"(28.5340607690001, -81.310494255)"
225,1,"(28.4886162980001, -81.429037941)"
226,1,"(28.5367489810001, -81.310519243)"
227,1,"(28.45782732, -81.45861959)"
228,1,"(28.497080116, -81.3102142)"
229,1,"(28.54133587, -81.37437355)"
230,1,"(28.54232647, -81.34878505)"
231,1,"(28.36461532, -81.24442682)"
232,1,"(28.470354269, -81.450392523)"
233,1,"(28.5165664, -81.37796233)"
234,1,"(28.494537521, -81.248386317)"
235,1,"(28.544183666, -81.346766109)"
236,1,"(28.56616915, -81.36444919)"
237,1,"(28.566174494, -81.364452292)"
238,1,"(28.496308986, -81.458947614)"
239,1,"(28.54594938, -81.35090998)"
240,1,"(28.524253234, -81.332763913)"
241,1,"(28.57532966, -81.38717812)"
242,1,"(28.529494829, -81.397102962)"
243,1,"(28.54295476, -81.40646407)"
244,1,"(28.57572401, -81.389504)"
245,1,"(28.524262201, -81.33022816)"
246,1,"(28.579574843, -81.476049932)"
247,1,"(28.475268388, -81.289791995)"
248,1,"(28.495596968, -81.458941426)"
249,1,"(28.387517319, -81.244326638)"
250,1,"(28.511988709, -81.463522154)"
251,1,"(28.52530349, -81.34341182)"
252,1,"(28.469742482, -81.468704156)"
253,1,"(28.54015151, -81.39724625)"
254,1,"(28.55317272, -81.35485192)"
255,1,"(28.54570723, -81.38807042)"
256,1,"(28.47095565, -81.26906915)"
257,1,"(28.57720054, -81.41635883)"
258,1,"(28.54129173, -81.3799074)"
259,1,"(28.54199978, -81.38802106)"
260,1,"(28.50740086, -81.37628469)"
